ID,Title,activities.aims.restortechnique,data,region,disturbance.factor,grazing,what.restore,soil,benchmark,paradigm
1,Litter crusts promote herb species formation by improving surface microhabitats in a desert ecosystem,litter crust and seed germination,App.supplementary data,China,water-wind erosion,no,soil recovery and plant establishment,physical conditions and nutrient cycling,not clear,potential use
2,Shrub cover and fire history predict seed bank composition in Great Basin shrublands,"shrub native sp, soil seed bank",App.supplementary data,"Nevada, USA",fire and grazing,livestock,rare native species,seed bank,native plant communities,passive restoration
3,Native-plant amendments and topsoil addition enhance soil function in post-mining arid grasslands,soil treatments and seeding,App.supplementary data,Australia,mining,no,top soil and plants,"C, N, microbial activity",plant recruitment of key native sp,active restoration
4,Factors influencing colonisation processes in two contrasting mine sites in the Namib Desert,vegetation recovery in uranium and diamond mines,App.supplementary data,"Namib, Africa",mining,no,native vegetation,no,not clear,natural recovery
5,Evaluation of the restoration dynamics of the Artemisia terrae-albae communities in the northern part of the Aral Sea region,phytomelioration,experiment-control,"Aral Sea, Asia",land plowing,livestock,pastures,chemical composition,not plowed site,climax community
6,Using Activated Carbon to Limit Herbicide Effects to Seeded Bunchgrass When Revegetating Annual Grass-Invaded Rangelands,herbicides-activated carbon-revegetation,experiment-control,"Oregon, USA",exotic annual sp,no,perennial community,no,perennial native grasses,active restoration
9,Assessment of the effects of phytogenic nebkhas on soil nutrient accumulation and soil microbiological property improvement in semi-arid sandy land,fertile islands-shrubs,experiments,China,desertification,overgrazing,"soil nutrients, microbiota",nutrients,not clear,potential use
11,Response of soil enzyme activity to long-term restoration of desertified land,"planting, success",field data,China,intensive cultivation and overgrazing,past overgrazing,vegetation,nutrients and enzyme,healthy ecosystem,reduce pression on ecosystems
12,"Spatio-temporal variability of root zone soil moisture in artificially revegetated and natural ecosystems at an arid desert area, NW China",soil profile moisture-revegetated vs natural vegetation,App.supplementary data,China,desertification,no,vegetation,moisture,not clear,not clear
13,Effects of habitat alteration on lizard community and food web structure in a desert steppe ecosystem,ag lands-revegetated-natural vegetation-lizard richness,App.supplementary data,China,"agriculture, planting to combat desertification",no,animal diversity,no,not disturbed natural habitats,protection of natural habitats
15,Natural vegetation cover dynamic under grazing-rotation managements in desert rangelands of Tunisia,"effects of grazing intensity, treatments",field data,Tunisia,grazing,livestock,ecosystem productivity and diversity,no,resilient rangelands,controlled grazing
16,Nutrient resorption in Caragana microphylla along a chronosequence of plantations: Implications for desertified land restoration in North China,native leguminous plantations and nutrients resorption,field data,China,desertification,cattle and sheep,control land desertification,"ph,N,C,P",not clear,restoration may be accelerated with plantations
19,Shrub facilitation of desert land restoration in the Horqin Sand Land of Inner Mongolia,fertile islands-shrubs,field data,China,desertification,past grazing by livestock,control land desertification,physicochemical properties,higher productivity systems,grazing exclusion and plantations
20,"Recovery of topsoil physicochemical properties in revegetated sites in the sand-burial ecosystems of the Tengger Desert, northern China",revegetation-soil properties,field data,China,sand burial,no,soil conservation,physicochemical properties,desert native steppe,soil conservation
21,Vegetation diversity and its application in sandy desert revegetation on Tibetan Plateau,restoration of sand vegetation,field data,Tibetan Plateau,desertification by grazing and croplands,past overgrazing,vegetation and dunes fixation,no,not clear,human assistance
23,China's desertification deconstructed: towards a scientists' model based on long-term perceptions of grassland restoration (1995–2011),ccc framework for restoration,field data,China,grazing and desertification,livestock,grasslands,no,not clear,grazing exclusion
28,"Responses of soil fungal community to the sandy grassland restoration in Horqin Sandy Land, northern China",soil fungal in grasssland restoration,field data,China,desertification by grazing and croplands,past overgrazing,vegetation and dunes fixation,physicochemical properties,natural grassland,not clear
29,Effectiveness of shrub planting and grazing exclusion on degraded sandy grassland restoration in Horqin sandy land in Inner Mongolia,shrub planting and grazing exclusion,experiments,China,desertification,past overgrazing,vegetation and soil,chemical composition,natural grassland,planting
30,Response of lizard community structure to desert grassland restoration mediated by a keystone rodent,herbicide-lizards and rodent,field data,"New Mexico, USA",shrub encroachment,no,grasslands,no,not clear,recovery of animal biodiversity
31,"Arrival vs. retention of seeds in bare patches in the semi-arid desertified grassland of Inner Mongolia, northeastern China",seed arrival and retention,field data,China,desertification,past overgrazing,grasslands,no,not clear,natural recovery
